91,0.535152464,0.395527295,E 11 St & 1 Ave,326,41
92,0.361118405,0.319768192,Vesey Pl & River Terrace,327,39
93,0.398405886,0.366276286,Watts St & Greenwich St,328,23
94,0.420118273,0.31532208,Reade St & Broadway,330,39
95,0.493883711,0.300525857,Pike St & Monroe St,331,27
96,0.560925502,0.30302257,Cherry St,332,36
97,0.465169525,0.464079011,W 20 St & 7 Ave,334,31
98,0.482488015,0.392864077,Washington Pl & Broadway,335,27
99,0.455485073,0.400537367,Sullivan St & Washington Sq,336,36
100,0.589233742,0.375615954,Avenue D & E 12 St,339,30
101,0.516325488,0.305643962,Madison St & Clinton St,340,27
102,0.578115983,0.333017754,Stanton St & Mangin St,341,19
103,0.557241555,0.330767996,Columbia St & Rivington St,342,29
104,0.612694747,0.226950891,Clinton Ave & Flushing Ave,343,23
105,0.699180244,0.158686196,Monroe St & Bedford Ave,344,23
106,0.417143574,0.43282152,Bank St & Hudson St,346,27
107,0.404160927,0.391833521,Greenwich St & W Houston St,347,35
108,0.540369079,0.336649162,Rivington St & Ridge St,349,61
109,0.520276871,0.321140293,Clinton St & Grand St,350,28
110,0.41743729,0.266267177,Front St & Maiden Ln,351,39
111,0.588751,0.160027248,S Portland Ave & Hanson Pl,353,27
112,0.653800486,0.203964473,Emerson Pl & Myrtle Ave,354,47
113,0.451806511,0.323413471,Bayard St & Baxter St,355,43
114,0.544066274,0.324508528,Bialystoker Pl & Delancey St,356,23
115,0.412115931,0.413544347,Christopher St & Greenwich St,358,50
116,0.585130007,0.531912107,E 47 St & Park Ave,359,65
117,0.402641831,0.276242614,William St & Pine St,360,39
118,0.494006712,0.323613426,Allen St & Hester St,361,43
119,0.517553344,0.513899376,Broadway & W 37 St,362,57
120,0.358151569,0.282471833,West Thames St,363,49
121,0.66455522,0.17927988,Lafayette Ave & Classon Ave,364,27
122,0.61793188,0.20198856,Clinton Ave & Myrtle Ave,366,33
123,0.608247374,0.54886654,E 53 St & Lexington Ave,367,33
124,0.438848529,0.400049323,Carmine St & 6 Ave,368,39
125,0.449004951,0.409946763,Washington Pl & 6 Ave,369,60
126,0.676536982,0.208844463,Franklin Ave & Myrtle Ave,372,27
127,0.69912149,0.202288172,Willoughby Ave & Walworth St,373,19
128,0.411535823,0.283936069,John St & William St,376,43
129,0.419921493,0.357646863,6 Ave & Canal St,377,48
130,0.495663188,0.500186792,W 31 St & 7 Ave,379,42
131,0.43460009,0.419390943,W 4 St & 7 Ave S,380,42
132,0.448966931,0.425934659,Greenwich Ave & Charles St,383,39
133,0.633349669,0.54722641,E 55 St & 2 Ave,385,0
134,0.437798711,0.31768846,Centre St & Worth St,386,43
135,0.425614494,0.305869311,Centre St & Chambers St,387,39
136,0.43453775,0.503183728,W 26 St & 10 Ave,388,35
137,0.637563426,0.293667591,Broadway & Berry St,389,27
138,0.53506016,0.196412927,Duffield St & Willoughby St,390,31
