end station name,0-0,0-1,0-10,0-11,0-12,0-13,0-14,0-15,0-16,0-17,0-18,0-19,0-2,0-20,0-21,0-22,0-23,0-3,0-4,0-5,0-6,0-7,0-8,0-9,1-0,1-1,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-2,1-20,1-21,1-22,1-23,1-3,1-4,1-5,1-6,1-7,1-8,1-9,2-0,2-1,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-2,2-20,2-21,2-22,2-23,2-3,2-4,2-5,2-6,2-7,2-8,2-9,3-0,3-1,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-2,3-20,3-21,3-22,3-23,3-3,3-4,3-5,3-6,3-7,3-8,3-9,4-0,4-1,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-2,4-20,4-21,4-22,4-23,4-3,4-4,4-5,4-6,4-7,4-8,4-9,5-0,5-1,5-10,5-11,5-12,5-13,5-14,5-15,5-16,5-17,5-18,5-19,5-2,5-20,5-21,5-22,5-23,5-3,5-4,5-5,5-6,5-7,5-8,5-9,6-0,6-1,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-17,6-18,6-19,6-2,6-20,6-21,6-22,6-23,6-3,6-4,6-5,6-6,6-7,6-8,6-9
University Pl & E 8 St,0.8039000876424158,0.8162162162162082,0.782456887374922,0.7970264420814905,0.7914480691096983,0.7962121212121207,0.7901885410946371,0.781894264135537,0.7811886174767053,0.7867303971776491,0.7966762382277258,0.799760242281482,0.8191881918819149,0.8056201325119167,0.8106127106741555,0.8136963800619118,0.8088620571819124,,,,0.7964530892448528,0.7970160864612555,0.7949837203477765,0.7780848722025191,0.8124999999999974,0.8315050460728389,0.7925809617271845,0.793428941824664,0.7977898550724639,0.793401328445429,0.7855935783692454,0.7846908734052991,0.7795206035429502,0.7887543107073767,0.7912018027732856,0.8001014020787406,0.819099378881984,0.7995022345920193,0.8065185069254245,0.8166044366351864,0.8153846153846136,0.7990654205607498,,0.783604695191217,0.7890394814378332,0.7977524228469285,0.7936166213884198,0.7732698980816658,0.8082293800037234,0.8063300678221521,0.7869013418669788,0.7942976563666213,0.7916546854532083,0.7979304839105852,0.788504030124794,0.7849910486308775,0.7854386805538043,0.7893461046878897,0.7921246715080957,0.8014625371500068,0.8231046931407973,0.8069579477568226,0.8050947368421051,0.8048962703292921,0.8190265893826476,0.8041804180418091,,0.7788141239173846,0.7932806125018883,0.7967835887045722,0.7929699180671012,0.7811756281459966,0.817202194357363,0.8027722772277232,0.7904948112498122,0.8000485554746292,0.7942972683007339,0.7931748437904378,0.7900315095961054,0.7865757935444323,0.7838053941015461,0.7890701562229787,0.796350298028428,0.8043592299218388,0.83450704225352,0.8134317556809959,0.8170257084909326,0.8227816236626799,0.8108703635695935,,,0.7786885245901656,0.7916849015317301,0.8003280325180067,0.7946352135451381,0.787530814116766,0.8137503969514142,0.8218461538461505,0.791658003077304,0.7965158775278146,0.7954815292241934,0.7943188441363241,0.7891176130449857,0.7859550706363727,0.7876265134067229,0.7933323276512292,0.8024532557836062,0.8024983531363618,0.8264864864864808,0.8085604697735992,0.8148413266523503,0.8178548263458922,0.8172813166717476,0.807500000000004,0.8150197628458475,0.7965490600051494,0.8013516591996354,0.7971778056149154,0.7969452752220265,0.7889555822328913,0.8197140422308467,0.8177276620040009,0.8041259799202329,0.8102546296296295,0.8113155899941036,0.8083056546943667,0.8145317856995338,0.8126307337995727,0.8077029707193284,0.8138364498523736,0.8125161320599747,0.8080749592040832,0.8315994798439533,0.8186437365643938,0.8103967291189298,0.8098031895034387,0.812555624015882,0.8204346168509342,,0.8241232731137017,0.8143622722400813,0.8024280399451736,0.7982235629294436,0.7978093872900357,0.8162527357503087,0.8345599057992329,0.8039463153358369,0.812910816133406,0.8122509393145854,0.8102074057986761,0.8096834821237885,0.8126345106975552,0.8021817132016332,0.8118262005880438,0.8102520855176196,0.8145579248639871,0.8233333333333352,0.8188487211684629,0.8124083794391637,0.8115384615384588,0.8079722703639544,0.8209413369713476,,0.7924653007270326,0.795497780596068,0.8004341534008712,0.7940850277264351,0.7994512788742392
Van Brunt St & Van Dyke St,,0.8166320166320086,0.7829252714498635,0.7975910416862708,0.7918819770423242,0.7971590909090904,0.7905546403075238,0.7822344696196494,0.7814404432132956,0.7870718106293392,0.7971672146757344,0.8002019012366431,0.8206642066420625,0.8063466232709542,0.8110955056179757,0.8142017815402112,0.8095455063219056,,0.7906614785992203,0.7856054836252825,0.7965102974828391,0.7971550023615694,0.7955025224516085,0.778549590314296,0.8131868131868106,,0.7932090284592748,0.7940366229136284,0.7983333333333335,0.7937279953540711,0.7861216730038039,0.7850507033038925,0.7798309697751041,0.7891608489640285,0.7919483499923972,0.8008814180690684,0.819875776397512,0.8000374662135035,0.8071445340010955,0.817428069404789,0.8161260426320649,,,0.7839833396440757,0.7893668565442301,0.7980273558320133,0.794009602405728,0.7737718513345411,0.8084155650716809,0.8067068575734708,0.7877741008763973,0.7948947604120012,0.7921658838940531,0.7984524686809119,0.7889708399464727,0.7855486749038796,0.78591783723804,0.7896986880959022,0.7927039475543248,0.8020295635851703,0.8245487364620969,0.8077486236382798,0.8054736842105261,0.8054709499454061,0.8198546324408866,,,,0.7935324636075146,0.7969608712169187,0.7933586507983972,0.7815547271540209,,0.8039603960396043,0.7911966711786236,0.8008254430687054,0.7951638194272503,0.7938773246570774,0.7913921512460624,0.7877627598881931,0.7845434695697627,0.7894928998289816,0.7968454837230635,0.8051198657084412,,0.814553480966855,0.818067203859019,0.8230333543108863,0.8113294160852013,,,0.7789296046287384,0.7919766593727221,0.8005063110604013,0.7950394749357973,0.7879988766499204,,0.8230769230769197,0.7920738553665709,0.7972468123121889,0.7959903660232707,0.7948710083131394,0.7898982306002071,0.7866241218702575,0.7883026602150986,0.7939692596503576,0.803217567995824,0.803059506672849,0.8275675675675619,0.8094090492515531,0.8162729658792651,0.8185034494958421,0.8182718683328266,0.8083333333333373,,,0.8014275951097273,0.7973988652273242,0.7973562247437269,0.7893023876217135,0.8202821702490267,0.8185840707964646,0.8046210975106607,0.8116666666666665,0.8137370504506015,0.8109256699605973,0.8161221033499944,0.8144900589490582,0.8090891642319428,0.8151784915451354,0.8139005561161026,0.8093119966310454,0.8318162115301259,0.8196860139404605,0.8116996899851742,0.810496559816522,0.8132402272882856,,0.8105774419859693,,0.8152197213290416,0.8027217544546704,0.7985028769342478,0.7983974712390194,0.8165382053477965,0.8348542831910492,0.8049929200270886,0.8142407734213162,0.8139815552772405,0.8122706048430892,0.8121609499807788,0.8140903911887566,0.8037282962840764,0.8133071980834157,0.8115968455121494,0.8153572441533665,0.8235555555555575,0.819443526534929,0.8127866836903577,0.811823361823359,0.8082033506643588,,,,0.7958148383005702,0.801013024602029,0.7943807763401135,0.8000265510222169
Van Brunt St & Wolcott St,0.8049956178790504,,0.7834788162657034,0.797967441422791,0.7923947773263367,0.7978030303030298,0.7911403990481425,0.7829489011362855,0.7816167212289088,0.7873278707181067,0.7975689226786504,0.8005804660553526,,0.8069568755085458,0.8115783005617959,0.8144544822793608,,,,,0.7967391304347842,0.7973494846220089,0.7958782067336937,0.7788430964901552,0.8134157509157484,0.8319438350153576,0.7937585868498538,0.7944417436396047,0.7986594202898551,0.7940546622627133,0.7865441487114507,0.7857049394831532,0.7800458387050568,0.7894131830543641,0.7925981225719944,0.8014274292622979,,0.8003050820242456,0.8074966742311604,0.8175378871074026,0.8162187210379963,,,0.7841726618705052,,0.7981304557014202,0.7942488082423504,0.7741646843150521,0.8093464904114687,0.8082140165787459,0.7882468453398324,0.7956038214658899,0.7928687817502146,0.7987902235322998,0.7893754084585941,0.7857247674111434,0.7860943686480216,0.7900512715039146,0.7930854220237927,0.802342405756295,0.8267148014440464,0.8082464566006787,0.8056842105263156,0.8058157577150745,0.8199466372251354,,,,0.7937339444920157,0.7971128276560728,0.7937623347885892,0.7819759482740478,0.8175940438871435,,0.791798265403319,0.8012624423403732,0.7963604852686302,0.7945058601693338,0.7916786021197376,0.7881839414940437,0.784881754159362,0.7897811341058019,0.7973773498395239,0.8054870691916285,,0.8150600665798236,0.8187798059529728,0.8234109502831959,0.8119720896070521,,,,0.7921225382932181,0.8007559010197538,0.795372396081046,0.7885605516897057,0.8140679580819318,0.823384615384612,0.7925312928847644,0.7977341021684383,0.7969062722616098,0.7955458756403581,0.7901584364519476,0.7869843802269648,0.7885984744437631,0.7942542029131255,0.8037581790727586,0.8038158440481143,0.8281081081081024,0.8100200264756799,0.8170842281078502,0.8187982782003648,0.8185004571776909,,,0.7968065928405859,0.8017313387500948,0.797804141183407,0.797744343736444,0.7896758703481374,0.8207556102641768,0.8190122751926964,0.8053912804291038,0.8125694444444443,0.8147056346332007,0.8120603222412485,0.8169482423891946,0.8154408502186815,0.8097289458531494,0.8158942471146085,0.8146279653659324,0.8098910354266446,0.8320329432162984,0.8201420102924897,0.812283775890732,0.8109765854178874,0.8137194495789681,,0.8121964382083114,0.8246546227417569,0.8156484458735218,0.803211278637165,0.7986146025361694,0.7989855551880031,0.8172994576077641,0.8352958492787736,0.805824047281906,0.8147778715568184,0.8151884321985657,0.8131610381148885,0.8127589594635006,0.8149343798793082,0.8049036994267332,0.8138952412065781,0.8120526963577527,0.8157440115514533,0.8242222222222242,0.8199722424162323,0.8135432921927457,0.8131766381766353,0.8088965915655719,,,,0.7964489537095747,0.802026049204055,0.7948983364140506,0.800557571466504
Van Vorst Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8139387999564419,,,,,,,,0.8212824010914022,,,,,,
Vernon Blvd & 10 St,0.8054338299737042,,0.7836065573770511,0.798061541356921,0.7929075776103491,0.7979545454545449,0.7913234486545858,0.7834251888140428,0.7818685469654991,0.7874701263229775,0.7980152649041128,0.8010431563893309,,0.8071602929210763,0.8120610955056161,0.8147703582032979,0.8101150472718999,0.8135391923990528,,,,0.7975439668824484,,0.7789164730341199,0.814560439560437,,0.793954857703632,0.7945632798573976,0.7990579710144928,0.7942361438786256,0.7868610054921858,0.7859012103369315,0.7803323306116605,0.7895253315389578,0.7928331466965295,0.8017784364579454,,0.8005726978349876,0.8077705610767665,0.8179771579178573,0.8168674698795162,,,,,0.7984741219327762,0.7943684111606617,0.7742301564784707,,,0.7886468598858158,0.7959396924914162,0.793443879996165,0.7991279783836877,0.789748856315937,0.7858421624159859,0.7863717751494212,0.7902569451585886,0.7933821243889344,0.802948537462849,,0.8085392995197369,0.805936842105263,0.8062180334463543,0.820498665930628,,,,,0.7972647840952269,0.7937922373063812,0.7821444367220586,0.8179858934169241,0.8055445544554459,0.7918483982553769,0.8014566642388923,0.7968556573409253,0.7948755869412494,0.7920366657118316,0.7883753876785212,0.7852507918934704,0.7900117215272581,0.79772581384686,0.8058018150343604,,0.8153495440729485,0.8188894370443504,0.8236626809314023,0.8122475211164168,,,,,0.8009341795621484,0.7954437363264565,0.7886853683652136,0.8143855192124494,,0.7928639747161779,0.7982619995127086,0.7976186437803181,0.795944660879169,0.7905342893489061,0.7873961040632017,0.7891055845500449,0.794472100702301,0.8042055813433251,0.8042550076853652,,0.8103255150877433,0.8171796707229778,0.8189162096821738,0.8186528497409339,,,,0.8018072746601868,0.7979883575270811,0.7977671742654273,0.7897825796985442,0.8209449862702368,0.8192977447901842,0.8062439829459516,0.8128703703703702,0.8151478143687351,0.81267922348524,0.8178156883803549,0.816032453675336,0.8105819880147582,0.8164534311532593,0.8149330079545707,0.8102068747696988,0.8322496749024709,0.8203374373005022,0.8125533540009894,0.8112432663075348,0.8139248305606892,,,,,,0.798782190939052,0.7996839048774212,0.8174897706727561,0.8354430379746818,0.8062242196638552,0.81528939359063,0.8157121712398956,0.8138777283092635,0.8134210413907997,0.8158416677216511,0.8056048170907741,0.8143743874550807,0.8126908875415974,0.8162081324291575,0.8244444444444464,0.8202035556143026,0.8137324443183427,0.8136752136752108,0.8092432120161785,0.8216234652114567,,,,0.8024602026049232,0.7950462107208898,0.8014868572440064
Vernon Blvd & 30 Rd,0.8060911481156848,0.8170478170478089,0.7839897807110942,0.798155641291051,0.7931048084888155,0.7981439393939389,0.7914698883397405,0.7835612710076877,0.7820700075547713,0.7877404119722321,0.7984169729070288,0.8014427525868576,,0.8075671277461373,0.8127194522471891,0.8155284604207469,0.8103428636518976,,0.7914396887159518,,0.7967963386727704,0.7984885950045832,0.7965937958424275,0.779209979209979,0.8157051282051256,0.8323826239578763,0.794072620215899,0.7947658402203858,0.7992391304347827,0.7943813291713555,0.7870370370370386,0.7860647693817466,0.7806426968438145,0.7895814057812546,0.7930819957695667,0.802226945652384,0.8214285714285678,0.8008670752268039,0.8083183347679787,0.818690972984846,0.8179796107506933,0.8002336448598152,,,0.7896287566293476,0.7996082204962514,0.7948468228339065,0.7744920451321448,0.8099050456153413,0.8093443858327022,0.7888286846794447,0.7962755635169424,0.7936355794114818,0.7991893883566673,0.7898110976254942,0.7862530449329348,0.7866996191965299,0.7904920007639302,0.7936081833338042,0.8035351165337078,0.8281588447653461,0.8090664167740417,0.806694736842105,0.8065053732544114,0.8212347042046183,,,,0.794338387145519,0.7980752184373822,0.7943005801088451,0.7823971693940748,0.8183777429467046,0.8067326732673271,0.7919987968115507,0.8017479970866709,0.7972270363951467,,0.7922156975078786,0.7886434123367898,0.7854968170495426,0.7902038777118049,0.7980375974323712,0.8061690185175477,0.8352112676056327,0.8156390215660734,0.8196020391383042,0.8243549402139699,0.8127983841351462,0.8223529411764755,,,0.7923413566739621,0.8014690151893323,0.7959193379625261,0.7888725933784754,0.8151794220387435,0.8236923076923044,0.7930303156318846,0.7985462519288541,0.7978221784999491,0.7960366882419716,0.7907944952006466,0.7876019659813202,0.7894013987787093,0.7946229530178841,0.8045224912849763,0.8048893551613941,,0.8108346627745157,0.8175614411834884,0.8193289698685056,0.8191100274306626,,,,0.8021869542106461,0.7986515363643075,0.7980411406132276,0.7899959983993579,0.821891866300537,,0.8066015678723716,0.8131944444444443,0.8155478817485043,0.8132568646462988,0.818146143996035,0.8163282554036632,0.8109871830415224,0.8166994721302656,0.8153084449867409,0.8103911143864804,0.8324664065886435,0.8207282913165272,0.8126881430561181,0.8115632833751117,0.8143355925241313,0.8211971025543273,0.8127361036157589,0.8251859723698122,,0.8038966124926574,0.7990615049438562,0.8000514573455361,0.8179655533352359,0.8360317927583144,0.8065936095548851,0.8158009156244417,0.8160309689172268,0.8141383429253999,0.8138695485028411,0.8162003629151355,0.8059553759227946,0.8148753130785154,0.8130099831335197,0.8166722533068617,0.8248888888888909,0.8205670477826986,0.8142053246323352,0.8137464387464358,0.8097053726169874,0.8219645293315112,,0.7937871777924655,0.7974001268230814,0.8031837916063704,0.7960073937153445,0.8021506327993653
Vernon Blvd & 31 Ave,0.8067484662576655,,0.784330423674688,0.7985320410275711,0.7934598240700549,0.7985227272727268,0.7918359875526272,0.7836973532013326,0.7824477461596567,0.7881102765448963,0.7987591686132166,0.8019475056784703,,0.8080030222015598,0.8129827949438183,0.8159075115294714,0.8106845882218942,,,0.7857958872810327,0.7968535469107567,0.7986275109048971,0.7968084725750476,0.7793811911458969,0.8161630036630011,,0.7945044160942111,0.7950899368011668,0.7997463768115942,0.7947805887263626,0.7874595127446855,0.786326463853451,0.7809769374015187,0.7899038326744612,0.7936073438126453,0.8024804508492405,,0.8012417373618428,0.8087487283825024,0.8189106083900733,0.8183503243744189,,,,0.789694231650627,0.7999175201044718,0.7951372870640908,0.7745356932410904,0.8104636008192139,,0.7893014291428797,0.7966487535453048,0.7941148279497737,0.7994964382215654,0.7902467867923942,0.7864878349426199,0.786901369379366,0.7907858202706073,0.7940461725394896,0.8039848271546995,,0.8091542696497591,0.807073684210526,0.8065628412160228,0.8215107185573647,,,,,0.7982778270229209,0.794524848992285,0.7824814136180802,0.8187695924764852,,0.7922995939238985,0.8020878854090793,0.7975158867706522,0.7950234776500156,0.7925021483815538,0.7888348585212673,0.7857120890611057,0.7905689744624438,0.798459422283357,0.8065886796411904,,0.8161094224924014,0.8197664857753705,0.8246066708621763,0.8129820051413893,0.8235294117647108,,,0.7924142961342101,0.8018255722741217,0.7962522591077749,0.7890286142228602,0.81565576373452,,0.7934461679211515,0.7988305043449996,0.7982292479392109,0.7965888524187869,0.7912570833815186,0.7879879570777922,0.7896760834196119,0.7951090327014295,0.8049698935555428,0.8054017127381868,,0.8113098672821698,0.8180863755666905,0.8196827643139327,0.8194910088387699,0.8091666666666707,,0.7970641256760224,,0.7987989094392467,0.7982922764320446,0.790076030412163,0.822365306315687,0.8200114187839039,0.8074817769220208,0.8135879629629629,0.8162006232628647,0.813751985641492,0.8187450947994552,0.816645185826871,0.8112857477980855,0.816967880468818,0.8157542764624431,0.8108648734010616,0.8333333333333335,0.8212168588365585,0.8129127914813327,0.8118833004426886,0.8152255767782561,,,0.8257173219978674,,0.8041903270021542,0.7995642701525038,0.8006395412945198,,0.8363261701501307,0.8070861294095918,0.8164658942683968,0.8165774792212231,0.8148333152350969,0.8143394130964082,0.8168966535848405,0.806347176970347,0.8153109005771542,0.8131695309294809,0.8173426501302121,,0.8208644504659317,0.8145836288835292,0.8141737891737862,0.8098209127671896,,0.8044321329639835,,,0.8034732272069494,0.7963770794824424,0.8035224356137737
Vernon Blvd & 41 Rd,0.8074057843996462,0.8174636174636093,0.7844581647860357,0.7987672908628962,0.793775393475601,0.7989772727272723,0.7921654768442252,0.7841396203306787,0.782674389322588,0.7883236599522025,0.7988484370583091,0.8021578194666422,,0.8082064396140903,0.8133778089887621,0.8160970370838336,0.810798496411893,,,0.786176694592533,0.7970823798627018,0.7987108604450855,0.796880031485921,0.77947902653785,0.8163919413919388,0.832821412900395,0.7946614327772337,0.7955355695997408,0.8002898550724638,0.794962070342275,0.7878115758343912,0.7867190055610074,0.7813350522847733,0.7902542966888162,0.7938700178341845,0.8026949552465806,,0.8014023068482881,0.809061741920338,0.8191302437953006,0.8191844300278016,,0.7892628205128199,0.7843619840969346,0.7898906567144651,0.8001580864664211,0.7952227177200274,0.7746229894589818,0.8106497858871714,,0.7894832539365085,0.796835348559486,0.7946579762931713,0.7996192581675245,0.7903090281019514,0.786634578698673,0.7870779007893476,0.7910943307526181,0.7942298454321964,0.804219458783043,0.8288808664259959,0.809329975401194,0.8071999999999997,0.8070225849089141,0.8218787376943598,,,0.7791472351765452,0.7944894978088948,0.7984044573888827,0.794614556545661,0.7826288410100897,,,0.7927507895924201,0.8025734401553769,0.7978872658248736,0.7953932044219312,0.7930750501289041,0.7891794616533269,0.7861733862287411,0.7907803462654452,0.7987345254470434,0.8068771966636947,,0.8162179765523232,0.819876116866748,0.8247954688483311,,,,0.779411764705884,0.7928519328956981,0.8019325393995584,0.7963473794349888,0.7891534308983681,0.8161321054302965,,0.7936540940657849,0.7990335417851036,0.7986023949252009,0.7967422313567911,0.7915462009945635,0.7883224826947347,0.7899085088849911,0.7952934077538087,0.8053800123035622,0.8058408763754377,0.828648648648643,0.8113777536404061,0.8183727034120735,0.8200955245002645,0.8197957939652557,,0.8166007905138317,0.7980942570177685,0.8024147619409218,0.7988725959767163,0.7983607680189947,0.7901827397625698,0.8224599943187171,0.8207250927776236,0.8078943749140439,0.8138657407407407,0.816600690642634,0.8142058465537524,0.8191581643190554,0.8171734031988839,0.811818899149091,0.8173928603381926,0.8160593190510814,0.8113386324156429,0.8337667967056785,0.8215099993485773,0.8133171586467188,0.8124166622219835,0.8158417197234195,0.8215783454060238,0.8138154344306536,0.8267800212539779,0.8169346195069623,0.8047777560211478,0.8001228981621121,0.801190869996692,0.8184413359977157,0.8364733588460388,0.8072400418641876,0.8165937747768497,0.8169418194238874,0.8151373656205894,0.8147665627269238,0.8173819470819077,0.8070689157421538,0.8158336055755208,0.8136481743173644,0.8178325555011221,,0.8211948978917463,0.814725492977727,0.8144586894586865,0.810051993067594,,,0.794448116325182,0.8002536461636013,0.8054992764110015,0.7967467652495404,0.8037436941322267
Vernon Blvd & 47 Rd,,,0.7853523525654694,0.7995671403030016,0.7942881937596135,0.7992424242424238,0.7924217462932459,0.7844458052663799,0.7830017627801554,0.7886508478434054,0.7993245354321356,0.8027677294523409,0.8214022140221363,0.8088457514820434,0.8138167134831441,0.8162233874534085,0.8113680373618873,,,0.7873191165270341,0.7976544622425645,0.7991553913260901,0.7973630541343163,0.7801149565855447,0.8166208791208766,0.8332602018429137,0.7952894995093239,0.79606222654351,0.8007608695652174,0.7953250335740996,0.7882692578510085,0.7869479882237487,0.7817409158191284,0.7904225194157066,0.7943677159802589,0.8033579688383593,0.8222049689440958,0.8023122006048112,0.8096486423037795,0.8195695146057553,0.8200185356811843,,,0.7854979174555109,0.7900216067570239,0.8006735858134553,0.7956156987373356,0.7752122389297484,0.811208341091044,0.8097211755840209,0.7905378377395559,0.797283176593521,0.7950733250263576,0.7998956030459328,0.7905268726854014,0.7868106712059368,0.7875318387007288,0.791402841234629,0.7946678346378818,0.804825590489597,0.8296028880866457,0.8097985240716872,0.8075789473684207,0.8075972645250281,0.822246756831355,,,0.779646902065286,0.795093940462398,0.7987590224135755,0.794988338018061,0.7830921842421193,0.8189655172413755,0.8087128712871291,0.7937534466335792,0.8030589949016745,0.7986300239333163,0.7959847672569961,0.7935047264394168,0.7895623540222819,0.7865424239628495,0.7912799523452669,0.7992297111416788,0.8076116036300693,,0.8169416702851354,0.8212465055089669,0.825613593455002,,,,0.7806171648987481,0.7931436907366901,0.8023247521928266,0.7967992009892549,0.7897151059381534,0.8164496665608141,0.8239999999999967,0.7943194577286119,0.8000487289856233,0.7992129990840937,0.7972637197460055,0.7920087891754355,0.7887342065309716,0.790162063938132,0.7957962488057522,0.8061816080383272,0.8067679996096339,0.8291891891891835,0.8121245035810055,0.818754473872584,0.8202724217229781,0.8203291679366059,,,0.7993819211949511,0.8030222492216568,0.7991673421265948,0.7987260564827284,0.791169801253833,0.8229334343338671,0.8215815015700872,0.8085270251684793,0.8146064814814814,0.8172323759791117,0.8151135683782732,0.8198810359783557,0.8181030657736267,0.81269326736474,0.8181309832692116,0.8168805875589539,0.8122335105542964,0.8344169917641961,0.8223242785486293,0.8139461742373195,0.8133767134247143,0.8161155610323809,0.8223408311094169,,,0.8177920685959227,0.8066379479146273,0.8014636053851723,0.802109751166979,0.8190122751926915,0.836767736237855,0.8079480391553284,0.8173866339292577,0.8174200159398842,0.8159409273536765,0.8154927170988003,0.8179727391652938,0.8079350022683219,0.8165087661984108,0.8146738387199718,0.8185545213108841,,0.8215583900601423,0.8152456613231188,0.814957264957262,0.8101675332177962,0.8223055934515657,,0.7964309319233314,,0.8060781476121592,0.7974121996303167,0.8044517213912762
Vernon Blvd & 50 Ave,0.8078439964942999,0.8182952182952101,0.7863742814562508,0.8000376399736518,0.7950771172734787,0.8003787878787874,0.7934468240893287,0.7852622984282496,0.7837320574162673,0.7895612837145788,0.8002618541056065,0.8037351728779318,,0.809862838544696,0.8143872893258407,0.8169183144860701,0.8117097619318839,,0.7937743190661464,0.7894135567402862,0.8006292906178506,0.8025449392937505,0.8002969694801247,0.7814846520728873,0.8173076923076897,0.8345765686704697,0.7962315996074594,0.7967104197050722,0.8015217391304348,0.7959783673913838,0.7890085903393904,0.7876676480209355,0.7824810199111878,0.7912496144895844,0.7953631122724077,0.8040794836294125,,0.8034629485910022,0.8103920494561389,0.8208324181858124,0.8215940685820184,,0.790064102564102,0.7866338508140872,0.7929025076933167,0.803526015533711,0.7993575614673577,0.7771327557233584,0.8125116365667469,0.8100979653353396,0.7918469762536837,0.7978429616360646,0.7961276718106,0.8006325227216881,0.7913360097096445,0.7874269949813602,0.7884144957506368,0.7919757892726492,0.7955438130492526,0.8060378539027051,,0.8112334543750724,0.8085473684210523,0.8086891557956447,0.8227067807525988,0.8052805280528101,0.7920997920997932,0.7813124583610888,0.798065783508789,0.8024819551728513,0.7984719813408288,0.7841452370421867,0.8205329153604977,,0.7949065022309121,0.8041757708181592,0.7992902533630432,0.7968351388324019,0.7945431108564893,0.7904047172339831,0.7872497462865571,0.7922599488864556,0.8001283814763877,0.808188637675078,,0.8180633955709945,0.8217398454201658,0.8269981120201373,0.814083731178848,0.8270588235294167,0.789893617021277,0.7820636451301849,0.795040116703138,0.8058546673322404,0.8004613335869911,0.7915561519018942,0.8177199110828846,0.8249230769230737,0.7955254293674858,0.8006984487939559,0.7998914481495302,0.7980612902236275,0.7927026714467434,0.7892231285865029,0.7909227290975548,0.7969360218568241,0.8072255466696491,0.80769512284383,0.829729729729724,0.813312514850141,0.8198520639465521,0.8213338050592597,0.8216245047241707,0.8108333333333374,,0.8004120525366972,0.8056040701647808,0.8023727065065226,0.8027213990548159,0.7923169267707064,0.8240696903702273,0.8217242363688312,0.8104249759317855,0.8160879629629629,0.8184115219405368,0.8163513708662562,0.8210376306332361,0.8189482135688474,0.8138875263909924,0.8194282902388815,0.8181007579135072,0.8129441490761683,0.8352839185088862,0.823366555924696,0.8148447679381777,0.81487012640674,0.817074005613746,0.823865802516203,0.8154344306529958,0.8304994686503647,0.8244372990353653,0.8092813785000982,0.8041450198312926,0.8036902267798728,0.820058997050147,0.8369149249337632,0.809548728683125,0.8191513849459078,0.8188090629625416,0.8170051037029001,0.8166673785827182,0.8188589272903729,0.8089041943333196,0.8174234999455523,0.8158818434608206,0.8194054095866751,0.8251111111111131,0.822483642852423,0.8158604057313091,0.8166666666666637,0.8106296938186051,,0.8049861495844821,0.7970918704560478,0.8046924540266324,0.8109985528220001,0.7986691312384498,0.8058235242056846
